Category,Team/All_Teams,Place,Record,Year,Team
Points Allowed,99,6,188,2017,4
Points Allowed,99,7,191,2018,27
Points Allowed,99,8,192,2017,17
Points Allowed,99,9,193,2017,31
Points Allowed,99,10,193,2018,22
Points Allowed,99,11,194,2018,24
Points Allowed,99,12,195,2018,28
Points Allowed,99,13,197,2018,11
Points Allowed,99,14,197,2018,21
Points Allowed,99,15,198,2017,10
Points Allowed,99,16,198,2017,20
Points Allowed,99,17,199,2018,0
Points Allowed,99,18,202,2018,26
Points Allowed,99,19,205,2018,19
Points Allowed,99,20,206,2017,18
Points Allowed,99,21,208,2017,30
Points Allowed,99,22,208,2018,2
Points Allowed,99,23,209,2017,11
Points Allowed,99,24,210,2017,23
Points Allowed,99,25,210,2017,26
Points Allowed,99,26,210,2018,8
Points Allowed,99,27,211,2017,2
Points Allowed,99,28,213,2018,16
Points Allowed,99,29,214,2018,12
Points Allowed,99,30,215,2017,15
Points Allowed,99,31,216,2018,13
Points Allowed,99,32,218,2017,8
Points Allowed,99,33,219,2017,0
Points Allowed,99,34,220,2018,10
Points Allowed,99,35,222,2018,1
Points Allowed,99,36,223,2017,1
Points Allowed,99,37,226,2017,12
Points Allowed,99,38,227,2017,19
Points Allowed,99,39,227,2018,7
Points Allowed,99,40,228,2018,31
Points Allowed,99,41,230,2018,9
Points Allowed,99,42,233,2018,18
Points Allowed,99,43,236,2017,16
Points Allowed,99,44,238,2018,23
Points Allowed,99,45,240,2017,21
Points Allowed,99,46,242,2018,29
Points Allowed,99,47,244,2017,5
Points Allowed,99,48,244,2017,6
Points Allowed,99,49,244,2018,4
Points Allowed,99,50,247,2017,22
Points Allowed,99,51,248,2018,6
Points Allowed,99,52,248,2018,14
Points Allowed,99,53,249,2018,3
Points Allowed,99,54,250,2017,25
Points Allowed,99,55,251,2017,14
Points Allowed,99,56,253,2017,9
Points Allowed,99,57,253,2017,29
Points Allowed,99,58,253,2018,30
Points Allowed,99,59,255,2017,27
Points Allowed,99,60,262,2018,5
Points Allowed,99,61,282,2018,20
Points Allowed,99,62,283,2018,25
Points Allowed,99,63,284,2017,7
Passing Yards,99,0,2988,2017,2
Passing Yards,99,1,2986,2017,7
Passing Yards,99,2,2975,2018,1
Passing Yards,99,3,2950,2018,26
Passing Yards,99,4,2890,2017,9
Passing Yards,99,5,2863,2017,20
Passing Yards,99,6,2822,2017,29
Passing Yards,99,7,2800,2018,29
Passing Yards,99,8,2772,2018,7
Passing Yards,99,9,2761,2018,20
Passing Yards,99,10,2733,2017,14
Passing Yards,99,11,2699,2018,2
Passing Yards,99,12,2674,2018,16
Passing Yards,99,13,2666,2017,1
Passing Yards,99,14,2646,2017,18
Passing Yards,99,15,2640,2017,13
Passing Yards,99,16,2624,2017,26
Passing Yards,99,17,2616,2018,12
Passing Yards,99,18,2608,2018,28
Passing Yards,99,19,2598,2018,24
Passing Yards,99,20,2580,2017,10
Passing Yards,99,21,2575,2018,15
Passing Yards,99,22,2563,2018,18
Passing Yards,99,23,2553,2017,3
Passing Yards,99,24,2549,2018,13
Passing Yards,99,25,2541,2017,12
Passing Yards,99,26,2540,2018,23
Passing Yards,99,27,2534,2017,6
Passing Yards,99,28,2526,2018,9
Passing Yards,99,29,2515,2017,21
Passing Yards,99,30,2493,2018,25
Passing Yards,99,31,2476,2018,31
Passing Yards,99,32,2463,2017,31
Passing Yards,99,33,2456,2018,14
Passing Yards,99,34,2450,2017,24
Passing Yards,99,35,2449,2017,28
Passing Yards,99,36,2438,2017,11
Passing Yards,99,37,2417,2017,4
Passing Yards,99,38,2395,2018,8
Passing Yards,99,39,2394,2017,15
Passing Yards,99,40,2366,2018,10
Passing Yards,99,41,2366,2018,27
Passing Yards,99,42,2365,2018,3
Passing Yards,99,43,2351,2017,27
Passing Yards,99,44,2349,2017,25
Passing Yards,99,45,2320,2018,4
Passing Yards,99,46,2308,2017,16
Passing Yards,99,47,2300,2018,17
Passing Yards,99,48,2285,2018,21
Passing Yards,99,49,2253,2017,8
Passing Yards,99,50,2248,2017,17
Passing Yards,99,51,2245,2018,11
Passing Yards,99,52,2236,2018,6
Passing Yards,99,53,2144,2018,0
Passing Yards,99,54,2135,2017,5
Passing Yards,99,55,2123,2018,22
Passing Yards,99,56,2120,2018,30
Passing Yards,99,57,2110,2017,23
Passing Yards,99,58,2108,2018,19
Passing Yards,99,59,2088,2018,5
Passing Yards,99,60,2085,2017,0
Passing Yards,99,61,2031,2017,22
Passing Yards,99,62,2016,2017,19
Passing Yards,99,63,1986,2017,30
Passing Yards Allowed,99,0,2091,2017,17
Passing Yards Allowed,99,1,2196,2017,8
Passing Yards Allowed,99,2,2215,2017,3
Passing Yards Allowed,99,3,2247,2017,22
Passing Yards Allowed,99,4,2251,2018,11
Passing Yards Allowed,99,5,2266,2018,5
Passing Yards Allowed,99,6,2280,2018,22
Passing Yards Allowed,99,7,2286,2017,5
Passing Yards Allowed,99,8,2306,2017,24
Passing Yards Allowed,99,9,2328,2018,30
Passing Yards Allowed,99,10,2338,2018,15
Passing Yards Allowed,99,11,2338,2018,20
Passing Yards Allowed,99,12,2355,2018,23
Passing Yards Allowed,99,13,2358,2018,1
Passing Yards Allowed,99,14,2366,2017,10
Passing Yards Allowed,99,15,2370,2018,26
Passing Yards Allowed,99,16,2380,2017,15
Passing Yards Allowed,99,17,2409,2018,27
Passing Yards Allowed,99,18,2410,2017,18
Passing Yards Allowed,99,19,2414,2018,16
Passing Yards Allowed,99,20,2420,2018,6
Passing Yards Allowed,99,21,2424,2018,2
Passing Yards Allowed,99,22,2425,2018,0
Passing Yards Allowed,99,23,2425,2018,21
Passing Yards Allowed,99,24,2434,2017,23
Passing Yards Allowed,99,25,2436,2017,26
Passing Yards Allowed,99,26,2436,2018,29
Passing Yards Allowed,99,27,2446,2017,4
Passing Yards Allowed,99,28,2447,2017,28
Passing Yards Allowed,99,29,2451,2018,31
Passing Yards Allowed,99,30,2455,2017,2
Passing Yards Allowed,99,31,2463,2018,14
Passing Yards Allowed,99,32,2472,2017,30
Passing Yards Allowed,99,33,2481,2018,19
Passing Yards Allowed,99,34,2486,2017,13
Passing Yards Allowed,99,35,2486,2018,17
Passing Yards Allowed,99,36,2488,2017,14
Passing Yards Allowed,99,37,2488,2018,3
Passing Yards Allowed,99,38,2492,2017,6
Passing Yards Allowed,99,39,2494,2017,9
Passing Yards Allowed,99,40,2497,2017,19
Passing Yards Allowed,99,41,2517,2017,0
Passing Yards Allowed,99,42,2533,2017,1
Passing Yards Allowed,99,43,2538,2018,10
Passing Yards Allowed,99,44,2563,2018,8
Passing Yards Allowed,99,45,2573,2017,11
Passing Yards Allowed,99,46,2593,2018,12
Passing Yards Allowed,99,47,2594,2017,20
Passing Yards Allowed,99,48,2595,2018,13
Passing Yards Allowed,99,49,2600,2017,31
Passing Yards Allowed,99,50,2609,2017,27
Passing Yards Allowed,99,51,2621,2018,7
Passing Yards Allowed,99,52,2621,2018,18
Passing Yards Allowed,99,53,2627,2017,25
Passing Yards Allowed,99,54,2633,2018,4
Passing Yards Allowed,99,55,2647,2018,24
Passing Yards Allowed,99,56,2649,2017,12
Passing Yards Allowed,99,57,2655,2017,29
Passing Yards Allowed,99,58,2668,2018,25
Passing Yards Allowed,99,59,2677,2018,9
Passing Yards Allowed,99,60,2679,2017,7
Passing Yards Allowed,99,61,2685,2017,16
Passing Yards Allowed,99,62,2702,2017,21
Passing Yards Allowed,99,63,2731,2018,28
Rushing Yards,99,0,1626,2017,7
Rushing Yards,99,1,1572,2017,4
Rushing Yards,99,2,1513,2017,13
Rushing Yards,99,3,1506,2018,13
Rushing Yards,99,4,1381,2018,28
Rushing Yards,99,5,1378,2018,10
Rushing Yards,99,6,1367,2017,10
Rushing Yards,99,7,1311,2018,3
Rushing Yards,99,8,1310,2017,21
Rushing Yards,99,9,1301,2017,18
Rushing Yards,99,10,1296,2018,22
Rushing Yards,99,11,1294,2018,6
Rushing Yards,99,12,1293,2017,28
Rushing Yards,99,13,1286,2018,5
Rushing Yards,99,14,1266,2017,0
Rushing Yards,99,15,1266,2017,12
Rushing Yards,99,16,1258,2017,17
Rushing Yards,99,17,1257,2018,9
Rushing Yards,99,18,1252,2017,31
Rushing Yards,99,19,1250,2018,17
Rushing Yards,99,20,1241,2017,24
Rushing Yards,99,21,1231,2017,16
Rushing Yards,99,22,1214,2018,31
Rushing Yards,99,23,1206,2018,24
Rushing Yards,99,24,1201,2017,15
Rushing Yards,99,25,1198,2018,29
Rushing Yards,99,26,1175,2018,11
Rushing Yards,99,27,1153,2018,0
Rushing Yards,99,28,1144,2017,1
Rushing Yards,99,29,1142,2018,1
Rushing Yards,99,30,1117,2017,29
Rushing Yards,99,31,1088,2017,22
Rushing Yards,99,32,1088,2018,12
Rushing Yards,99,33,1073,2017,3
Rushing Yards,99,34,1071,2018,8
Rushing Yards,99,35,1058,2017,6
Rushing Yards,99,36,1056,2018,21
Rushing Yards,99,37,1046,2017,11
Rushing Yards,99,38,1045,2017,9
Rushing Yards,99,39,1043,2017,5
Rushing Yards,99,40,1039,2018,7
Rushing Yards,99,41,1038,2018,25
Rushing Yards,99,42,1038,2018,30
Rushing Yards,99,43,1031,2017,20
Rushing Yards,99,44,1030,2017,8
Rushing Yards,99,45,1028,2017,19
Rushing Yards,99,46,1025,2017,27
Rushing Yards,99,47,1024,2018,27
Rushing Yards,99,48,1023,2018,16
Rushing Yards,99,49,1005,2018,23
Rushing Yards,99,50,1000,2018,20
Rushing Yards,99,51,996,2017,14
Rushing Yards,99,52,985,2018,2
Rushing Yards,99,53,968,2017,26
Rushing Yards,99,54,967,2017,30
Rushing Yards,99,55,962,2018,14
Rushing Yards,99,56,961,2018,4
Rushing Yards,99,57,956,2018,26
Rushing Yards,99,58,950,2017,25
Rushing Yards,99,59,930,2018,15
Rushing Yards,99,60,862,2018,18
Rushing Yards,99,61,830,2018,19
Rushing Yards,99,62,825,2017,23
Rushing Yards,99,63,806,2017,2
Rushing Yards Allowed,99,0,751,2017,13
Rushing Yards Allowed,99,1,848,2018,12
Rushing Yards Allowed,99,2,868,2018,8
Rushing Yards Allowed,99,3,871,2018,17
Rushing Yards Allowed,99,4,874,2018,3
Rushing Yards Allowed,99,5,918,2017,4
Rushing Yards Allowed,99,6,961,2017,19
Rushing Yards Allowed,99,7,966,2017,12
Rushing Yards Allowed,99,8,973,2017,24
Rushing Yards Allowed,99,9,996,2018,27
Rushing Yards Allowed,99,10,1005,2017,17
Rushing Yards Allowed,99,11,1013,2017,28
Rushing Yards Allowed,99,12,1018,2018,24
Rushing Yards Allowed,99,13,1028,2018,6
Rushing Yards Allowed,99,14,1033,2018,31
Rushing Yards Allowed,99,15,1034,2018,2
Rushing Yards Allowed,99,16,1036,2017,15
Rushing Yards Allowed,99,17,1038,2017,11
Rushing Yards Allowed,99,18,1051,2018,13
Rushing Yards Allowed,99,19,1058,2017,20
Rushing Yards Allowed,99,20,1058,2018,7
Rushing Yards Allowed,99,21,1064,2018,1
Rushing Yards Allowed,99,22,1076,2018,0
Rushing Yards Allowed,99,23,1077,2018,11
Rushing Yards Allowed,99,24,1078,2017,31
Rushing Yards Allowed,99,25,1080,2017,10
Rushing Yards Allowed,99,26,1088,2018,4
Rushing Yards Allowed,99,27,1090,2017,3
Rushing Yards Allowed,99,28,1096,2018,9
Rushing Yards Allowed,99,29,1096,2018,21
Rushing Yards Allowed,99,30,1101,2017,6
Rushing Yards Allowed,99,31,1113,2018,15
Rushing Yards Allowed,99,32,1120,2017,0
Rushing Yards Allowed,99,33,1123,2017,21
Rushing Yards Allowed,99,34,1128,2018,10
Rushing Yards Allowed,99,35,1132,2018,29
Rushing Yards Allowed,99,36,1139,2017,9
Rushing Yards Allowed,99,37,1139,2017,14
Rushing Yards Allowed,99,38,1145,2017,5
Rushing Yards Allowed,99,39,1153,2018,19
Rushing Yards Allowed,99,40,1185,2017,2
Rushing Yards Allowed,99,41,1188,2018,16
Rushing Yards Allowed,99,42,1209,2018,22
Rushing Yards Allowed,99,43,1219,2018,28
Rushing Yards Allowed,99,44,1221,2017,8
Rushing Yards Allowed,99,45,1279,2018,23
Rushing Yards Allowed,99,46,1280,2017,16
Rushing Yards Allowed,99,47,1280,2018,26
Rushing Yards Allowed,99,48,1285,2017,30
Rushing Yards Allowed,99,49,1295,2017,26
Rushing Yards Allowed,99,50,1295,2018,14
Rushing Yards Allowed,99,51,1306,2017,22
Rushing Yards Allowed,99,52,1308,2017,1
Rushing Yards Allowed,99,53,1319,2018,5
Rushing Yards Allowed,99,54,1320,2018,20
Rushing Yards Allowed,99,55,1322,2017,7
Rushing Yards Allowed,99,56,1328,2018,18
Rushing Yards Allowed,99,57,1351,2018,25
Rushing Yards Allowed,99,58,1352,2017,29
Rushing Yards Allowed,99,59,1354,2017,27
Rushing Yards Allowed,99,60,1357,2017,23
Rushing Yards Allowed,99,61,1368,2017,18
Rushing Yards Allowed,99,62,1428,2018,30
Rushing Yards Allowed,99,63,1574,2017,25
Total Yards,99,0,4613,2017,7
Total Yards,99,1,4154,2017,13
Total Yards,99,2,4118,2018,1
Total Yards,99,3,4056,2018,13
Total Yards,99,4,3998,2018,29
Total Yards,99,5,3990,2017,4
Total Yards,99,6,3989,2018,28
Total Yards,99,7,3947,2017,10
Total Yards,99,8,3947,2017,18
Total Yards,99,9,3940,2017,29
Total Yards,99,10,3936,2017,9
Total Yards,99,11,3906,2018,26
Total Yards,99,12,3895,2017,20
Total Yards,99,13,3825,2017,21
Total Yards,99,14,3811,2017,1
Total Yards,99,15,3811,2018,7
Total Yards,99,16,3808,2017,12
Total Yards,99,17,3805,2018,24
Total Yards,99,18,3795,2017,2
Total Yards,99,19,3784,2018,9
Total Yards,99,20,3762,2018,20
Total Yards,99,21,3745,2018,10
Total Yards,99,22,3743,2017,28
Total Yards,99,23,3730,2017,14
Total Yards,99,24,3715,2017,31
Total Yards,99,25,3705,2018,12
Total Yards,99,26,3698,2018,16
Total Yards,99,27,3691,2017,24
Total Yards,99,28,3691,2018,31
Total Yards,99,29,3685,2018,2
Total Yards,99,30,3677,2018,3
Total Yards,99,31,3626,2017,3
Total Yards,99,32,3596,2017,15
Total Yards,99,33,3593,2017,6
Total Yards,99,34,3592,2017,26
Total Yards,99,35,3551,2018,17
Total Yards,99,36,3546,2018,23
Total Yards,99,37,3540,2017,16
Total Yards,99,38,3531,2018,6
Total Yards,99,39,3531,2018,25
Total Yards,99,40,3507,2017,17
Total Yards,99,41,3505,2018,15
Total Yards,99,42,3485,2017,11
Total Yards,99,43,3467,2018,8
Total Yards,99,44,3425,2018,18
Total Yards,99,45,3420,2018,11
Total Yards,99,46,3420,2018,22
Total Yards,99,47,3419,2018,14
Total Yards,99,48,3391,2018,27
Total Yards,99,49,3376,2017,27
Total Yards,99,50,3375,2018,5
Total Yards,99,51,3351,2017,0
Total Yards,99,52,3341,2018,21
Total Yards,99,53,3299,2017,25
Total Yards,99,54,3298,2018,0
Total Yards,99,55,3283,2017,8
Total Yards,99,56,3281,2018,4
Total Yards,99,57,3178,2017,5
Total Yards,99,58,3158,2018,30
Total Yards,99,59,3120,2017,22
Total Yards,99,60,3045,2017,19
Total Yards,99,61,2953,2017,30
Total Yards,99,62,2938,2018,19
Total Yards,99,63,2936,2017,23
Total Yards Allowed,99,0,3096,2017,17
Total Yards Allowed,99,1,3237,2017,13
Total Yards Allowed,99,2,3280,2017,24
Total Yards Allowed,99,3,3305,2017,3
Total Yards Allowed,99,4,3328,2018,11
Total Yards Allowed,99,5,3358,2018,17
Total Yards Allowed,99,6,3363,2018,3
Total Yards Allowed,99,7,3365,2017,4
Total Yards Allowed,99,8,3406,2018,27
Total Yards Allowed,99,9,3416,2017,15
Total Yards Allowed,99,10,3417,2017,8
Total Yards Allowed,99,11,3423,2018,1
Total Yards Allowed,99,12,3431,2017,5
Total Yards Allowed,99,13,3431,2018,8
Total Yards Allowed,99,14,3441,2018,12
Total Yards Allowed,99,15,3446,2017,10
Total Yards Allowed,99,16,3448,2018,6
Total Yards Allowed,99,17,3451,2018,15
Total Yards Allowed,99,18,3458,2017,19
Total Yards Allowed,99,19,3458,2018,2
Total Yards Allowed,99,20,3461,2017,28
Total Yards Allowed,99,21,3484,2018,31
Total Yards Allowed,99,22,3490,2018,22
Total Yards Allowed,99,23,3501,2018,0
Total Yards Allowed,99,24,3521,2018,21
Total Yards Allowed,99,25,3554,2017,22
Total Yards Allowed,99,26,3568,2018,29
Total Yards Allowed,99,27,3585,2018,5
Total Yards Allowed,99,28,3593,2017,6
Total Yards Allowed,99,29,3602,2018,16
Total Yards Allowed,99,30,3611,2017,11
Total Yards Allowed,99,31,3615,2017,12
Total Yards Allowed,99,32,3628,2017,14
Total Yards Allowed,99,33,3633,2017,9
Total Yards Allowed,99,34,3634,2018,23
Total Yards Allowed,99,35,3635,2018,19
Total Yards Allowed,99,36,3637,2017,0
Total Yards Allowed,99,37,3641,2017,2
Total Yards Allowed,99,38,3647,2018,13
Total Yards Allowed,99,39,3650,2018,26
Total Yards Allowed,99,40,3652,2017,20
Total Yards Allowed,99,41,3658,2018,20
Total Yards Allowed,99,42,3665,2018,24
Total Yards Allowed,99,43,3666,2018,10
Total Yards Allowed,99,44,3678,2017,31
Total Yards Allowed,99,45,3680,2018,7
Total Yards Allowed,99,46,3721,2018,4
Total Yards Allowed,99,47,3731,2017,26
Total Yards Allowed,99,48,3756,2018,30
Total Yards Allowed,99,49,3757,2017,30
Total Yards Allowed,99,50,3759,2018,14
Total Yards Allowed,99,51,3773,2018,9
Total Yards Allowed,99,52,3778,2017,18
Total Yards Allowed,99,53,3791,2017,23
Total Yards Allowed,99,54,3826,2017,21
Total Yards Allowed,99,55,3842,2017,1
Total Yards Allowed,99,56,3950,2018,18
Total Yards Allowed,99,57,3950,2018,28
Total Yards Allowed,99,58,3963,2017,27
Total Yards Allowed,99,59,3965,2017,16
Total Yards Allowed,99,60,4001,2017,7
Total Yards Allowed,99,61,4007,2017,29
Total Yards Allowed,99,62,4020,2018,25
Total Yards Allowed,99,63,4201,2017,25
Pass Attempts,99,0,401,2018,20
Pass Attempts,99,1,399,2018,1
Pass Attempts,99,2,395,2017,9
Pass Attempts,99,3,395,2017,30
Pass Attempts,99,4,394,2018,23
Pass Attempts,99,5,390,2017,11
Pass Attempts,99,6,388,2017,29
Pass Attempts,99,7,386,2017,2
Pass Attempts,99,8,384,2017,14
Pass Attempts,99,9,384,2018,2
Pass Attempts,99,10,381,2017,5
Pass Attempts,99,11,380,2017,7
Pass Attempts,99,12,376,2018,21
Pass Attempts,99,13,373,2017,6
Pass Attempts,99,14,373,2017,28
Pass Attempts,99,15,370,2017,13
Pass Attempts,99,16,369,2017,17
Pass Attempts,99,17,368,2017,1
Pass Attempts,99,18,368,2018,5
Pass Attempts,99,19,367,2017,20
Pass Attempts,99,20,365,2017,23
Pass Attempts,99,21,365,2018,16
Pass Attempts,99,22,365,2018,19
Pass Attempts,99,23,365,2018,31
Pass Attempts,99,24,363,2017,15
Pass Attempts,99,25,363,2017,16
Pass Attempts,99,26,363,2018,7
Pass Attempts,99,27,363,2018,11
Pass Attempts,99,28,362,2017,21
Pass Attempts,99,29,358,2017,4
Pass Attempts,99,30,358,2017,24
Pass Attempts,99,31,358,2018,26
Pass Attempts,99,32,358,2018,27
Pass Attempts,99,33,356,2017,12
Pass Attempts,99,34,356,2018,30
Pass Attempts,99,35,355,2017,19
Pass Attempts,99,36,354,2018,29
Pass Attempts,99,37,353,2018,8
Pass Attempts,99,38,351,2017,22
Pass Attempts,99,39,351,2017,26
Pass Attempts,99,40,350,2017,25
Pass Attempts,99,41,350,2018,15
Pass Attempts,99,42,349,2017,31
Pass Attempts,99,43,349,2018,6
Pass Attempts,99,44,348,2018,0
Pass Attempts,99,45,344,2018,12
Pass Attempts,99,46,342,2018,14
Pass Attempts,99,47,340,2017,8
Pass Attempts,99,48,340,2018,25
Pass Attempts,99,49,338,2018,4
Pass Attempts,99,50,336,2018,9
Pass Attempts,99,51,333,2018,10
Pass Attempts,99,52,330,2018,24
Pass Attempts,99,53,329,2018,3
Pass Attempts,99,54,328,2017,0
Pass Attempts,99,55,327,2017,18
Pass Attempts,99,56,323,2017,10
Pass Attempts,99,57,322,2017,27
Pass Attempts,99,58,319,2018,28
Pass Attempts,99,59,318,2018,18
Pass Attempts,99,60,316,2018,13
Pass Attempts,99,61,313,2017,3
Pass Attempts,99,62,292,2018,22
Pass Attempts,99,63,286,2018,17
Rush Attempts,99,0,317,2018,22
Rush Attempts,99,1,315,2018,17
Rush Attempts,99,2,306,2017,13
Rush Attempts,99,3,303,2017,4
Rush Attempts,99,4,303,2017,10
Rush Attempts,99,5,299,2017,3
Rush Attempts,99,6,298,2018,3
Rush Attempts,99,7,298,2018,24
Rush Attempts,99,8,298,2018,28
Rush Attempts,99,9,297,2017,24
Rush Attempts,99,10,296,2017,7
Rush Attempts,99,11,296,2018,13
Rush Attempts,99,12,293,2017,18
Rush Attempts,99,13,289,2018,10
Rush Attempts,99,14,281,2017,5
Rush Attempts,99,15,281,2017,28
Rush Attempts,99,16,280,2018,11
Rush Attempts,99,17,277,2018,1
Rush Attempts,99,18,277,2018,9
Rush Attempts,99,19,276,2017,17
Rush Attempts,99,20,273,2018,6
Rush Attempts,99,21,271,2017,12
Rush Attempts,99,22,271,2017,15
Rush Attempts,99,23,270,2018,29
Rush Attempts,99,24,268,2017,27
Rush Attempts,99,25,268,2018,31
Rush Attempts,99,26,266,2017,0
Rush Attempts,99,27,266,2017,8
Rush Attempts,99,28,266,2017,21
Rush Attempts,99,29,265,2017,31
Rush Attempts,99,30,265,2018,27
Rush Attempts,99,31,263,2018,4
Rush Attempts,99,32,263,2018,8
Rush Attempts,99,33,261,2018,26
Rush Attempts,99,34,260,2017,1
Rush Attempts,99,35,260,2017,16
Rush Attempts,99,36,259,2018,5
Rush Attempts,99,37,258,2017,26
Rush Attempts,99,38,258,2018,0
Rush Attempts,99,39,256,2018,2
Rush Attempts,99,40,256,2018,12
Rush Attempts,99,41,255,2017,2
Rush Attempts,99,42,254,2017,20
Rush Attempts,99,43,254,2018,15
Rush Attempts,99,44,253,2017,19
Rush Attempts,99,45,251,2017,11
Rush Attempts,99,46,250,2017,14
Rush Attempts,99,47,250,2018,7
Rush Attempts,99,48,249,2017,9
Rush Attempts,99,49,248,2017,6
Rush Attempts,99,50,248,2018,16
Rush Attempts,99,51,248,2018,25
Rush Attempts,99,52,245,2018,14
Rush Attempts,99,53,243,2017,29
Rush Attempts,99,54,243,2018,19
Rush Attempts,99,55,243,2018,21
Rush Attempts,99,56,239,2017,23
Rush Attempts,99,57,238,2018,30
Rush Attempts,99,58,237,2017,22
Rush Attempts,99,59,237,2018,18
Rush Attempts,99,60,235,2018,20
Rush Attempts,99,61,229,2018,23
Rush Attempts,99,62,220,2017,25
Rush Attempts,99,63,218,2017,30
