Category,Team/All_Teams,Place,Record,Year,Team
Points Allowed,11,0,197,2018,11
Points Allowed,11,1,209,2017,11
Passing Yards,11,0,2438,2017,11
Passing Yards,11,1,2245,2018,11
Passing Yards Allowed,11,0,2251,2018,11
Passing Yards Allowed,11,1,2573,2017,11
Rushing Yards,11,0,1175,2018,11
Rushing Yards,11,1,1046,2017,11
Rushing Yards Allowed,11,0,1038,2017,11
Rushing Yards Allowed,11,1,1077,2018,11
Total Yards,11,0,3485,2017,11
Total Yards,11,1,3420,2018,11
Total Yards Allowed,11,0,3328,2018,11
Total Yards Allowed,11,1,3611,2017,11
Pass Attempts,11,0,390,2017,11
Pass Attempts,11,1,363,2018,11
Rush Attempts,11,0,280,2018,11
Rush Attempts,11,1,251,2017,11
Points Scored,12,0,225,2017,12
Points Scored,12,1,208,2018,12
Points Allowed,12,0,214,2018,12
Points Allowed,12,1,226,2017,12
Passing Yards,12,0,2616,2018,12
Passing Yards,12,1,2541,2017,12
Passing Yards Allowed,12,0,2593,2018,12
Passing Yards Allowed,12,1,2649,2017,12
Rushing Yards,12,0,1266,2017,12
Rushing Yards,12,1,1088,2018,12
Rushing Yards Allowed,12,0,848,2018,12
Rushing Yards Allowed,12,1,966,2017,12
Total Yards,12,0,3808,2017,12
Total Yards,12,1,3705,2018,12
Total Yards Allowed,12,0,3441,2018,12
Total Yards Allowed,12,1,3615,2017,12
Pass Attempts,12,0,356,2017,12
Pass Attempts,12,1,344,2018,12
Rush Attempts,12,0,271,2017,12
Rush Attempts,12,1,256,2018,12
Points Scored,13,0,288,2018,13
Points Scored,13,1,278,2017,13
Points Allowed,13,0,183,2017,13
Points Allowed,13,1,216,2018,13
Passing Yards,13,0,2640,2017,13
Passing Yards,13,1,2549,2018,13
Passing Yards Allowed,13,0,2486,2017,13
Passing Yards Allowed,13,1,2595,2018,13
Rushing Yards,13,0,1513,2017,13
Rushing Yards,13,1,1506,2018,13
Rushing Yards Allowed,13,0,751,2017,13
Rushing Yards Allowed,13,1,1051,2018,13
Total Yards,13,0,4154,2017,13
Total Yards,13,1,4056,2018,13
Total Yards Allowed,13,0,3237,2017,13
Total Yards Allowed,13,1,3647,2018,13
Pass Attempts,13,0,370,2017,13
Pass Attempts,13,1,316,2018,13
Rush Attempts,13,0,306,2017,13
